Ingredient,Frequency
garam,801
bawang,772
putih,703
merah,568
gula,496
daun,460
bumbu,455
bubuk,438
ayam,407
kaldu,370
telur,353
minyak,336
cabe,311
jeruk,306
rawit,269
kemiri,253
lada,245
bahan,236
salam,230
pasir,221
manis,203
kecap,203
tomat,201
jahe,193
ketumbar,192
lengkuas,187
kunyit,182
tepung,181
untuk,177
penyedap,164
daging,159
keriting,152
merica,139
jamur,135
pelengkap,132
wortel,130
saus,127
sambal,126
sapi,123
selera,117
sereh,114
geprek,114
terigu,109
nipis,102
bombay,101
kacang,101
tempe,100
sesuai,99
nasi,98
kentang,98
